user_id,med_active_days,avg_active_days,med_courses_seen,avg_courses_seen,med_materials_seen,avg_materials_seen,favorite_category,subscription_number,renewed,age,is_working
782,0,0.0,0,0.0,0,0.0,,1,0,28,0
976,0,0.0,0,0.0,0,0.0,,1,0,40,1
1246,0,0.0,0,0.0,0,0.0,,1,0,18,0
2387,0,0.0,0,0.0,0,0.0,,1,0,18,0
2662,0,0.0,0,0.0,0,0.0,,1,0,28,1
2796,0,0.0,0,0.0,0,0.0,,1,0,18,0
3229,0,0.0,0,0.0,0,0.0,,1,0,34,1
4827,0,0.0,0,0.0,0,0.0,,1,0,24,0
5333,0,0.0,0,0.0,0,0.0,,1,0,26,1
5994,0,0.0,0,0.0,0,0.0,,1,0,20,1
7343,0,0.0,0,0.0,0,0.0,,1,0,23,1
7364,0,0.0,0,0.0,0,0.0,,1,0,38,0
8554,0,0.0,0,0.0,0,0.0,,1,0,37,1
8593,0,0.0,0,0.0,0,0.0,,1,0,35,1
8634,0,0.0,0,0.0,0,0.0,,1,0,48,1
18,1,1.0,0,0.0,1,1.0,English,1,0,18,1
282,1,1.0,0,0.0,1,1.0,Computer Science,1,0,23,0
587,1,1.0,0,0.0,1,1.0,Computer Science,1,0,40,1
795,1,1.0,0,0.0,1,1.0,Marketing,1,0,38,0
940,1,1.0,0,0.0,1,1.0,Computer Science,1,0,32,1
1252,1,1.0,0,0.0,1,1.0,Marketing,1,0,24,1
1283,1,1.0,0,0.0,1,1.0,Marketing,1,0,27,1
1860,1,1.0,0,0.0,1,1.0,Computer Science,1,0,31,1
2131,1,1.0,0,0.0,1,1.0,Marketing,1,0,27,1
2173,1,1.0,0,0.0,1,1.0,Marketing,1,0,26,1
2295,1,1.0,0,0.0,1,1.0,English,1,0,35,0
2351,1,1.0,0,0.0,1,1.0,Computer Science,1,0,33,1
2369,1,1.0,0,0.0,1,1.0,Marketing,1,0,28,1
2843,1,1.0,0,0.0,1,1.0,English,1,0,19,0
2922,1,1.0,0,0.0,1,1.0,Computer Science,1,0,31,1
3069,1,1.0,0,0.0,1,1.0,Marketing,1,0,19,1
3080,1,1.0,0,0.0,1,1.0,Computer Science,1,0,18,1
3176,1,1.0,0,0.0,1,1.0,Computer Science,1,0,26,1
3282,1,1.0,0,0.0,1,1.0,English,1,0,20,0
3696,1,1.0,0,0.0,1,1.0,English,1,0,36,1
3765,1,1.0,0,0.0,1,1.0,Marketing,1,0,25,1
3960,1,1.0,0,0.0,1,1.0,Computer Science,1,0,18,0
4127,1,1.0,0,0.0,1,1.0,Marketing,1,0,40,1
4444,1,1.0,0,0.0,1,1.0,Marketing,1,0,27,1
4936,1,1.0,0,0.0,1,1.0,Computer Science,1,0,34,0
5044,1,1.0,0,0.0,1,1.0,English,1,0,28,1
5640,1,1.0,0,0.0,1,1.0,Marketing,1,0,26,1
5737,1,1.0,0,0.0,1,1.0,English,1,0,26,0
5930,1,1.0,0,0.0,1,1.0,English,1,0,36,1
5973,1,1.0,0,0.0,1,1.0,Computer Science,1,0,18,0
6177,1,1.0,0,0.0,1,1.0,Marketing,1,0,30,0
6428,1,1.0,0,0.0,1,1.0,English,1,0,37,0
6713,1,1.0,0,0.0,1,1.0,Computer Science,1,0,42,0
6792,1,1.0,0,0.0,1,1.0,Marketing,1,0,27,1
7005,1,1.0,0,0.0,1,1.0,Computer Science,1,0,36,0
7807,1,1.0,0,0.0,1,1.0,Computer Science,1,0,24,0
7864,1,1.0,0,0.0,1,1.0,English,1,0,33,1
8150,1,1.0,0,0.0,1,1.0,English,1,0,39,0
8383,1,1.0,0,0.0,1,1.0,Computer Science,1,0,30,1
8665,1,1.0,0,0.0,1,1.0,Marketing,1,0,18,1
8904,1,1.0,0,0.0,1,1.0,Marketing,1,0,34,1
9025,1,1.0,0,0.0,1,1.0,Computer Science,1,0,22,0
9192,1,1.0,0,0.0,1,1.0,Marketing,1,0,39,1
9211,1,1.0,0,0.0,1,1.0,English,1,0,32,1
9423,1,1.0,0,0.0,1,1.0,Computer Science,1,0,18,1
9581,1,1.0,0,0.0,1,1.0,English,1,0,46,1
9635,1,1.0,0,0.0,1,1.0,Marketing,1,0,26,1
9854,1,1.0,0,0.0,1,1.0,Marketing,1,0,18,0
9937,1,1.0,0,0.0,1,1.0,Marketing,1,0,35,1
9946,1,1.0,0,0.0,1,1.0,Computer Science,1,0,32,0
6,2,2.0,0,0.0,1,1.0,English,1,0,55,0
210,2,2.0,0,0.0,1,1.0,English,1,0,18,0
240,2,2.0,0,0.0,1,1.0,Marketing,1,0,30,1
252,2,2.0,0,0.0,1,1.0,Marketing,1,0,30,0
270,2,2.0,0,0.0,1,1.0,Computer Science,1,0,21,1
286,2,2.0,0,0.0,1,1.0,Marketing,1,0,34,0
314,2,2.0,0,0.0,1,1.0,English,1,0,18,0
464,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,1
660,2,2.0,0,0.0,1,1.0,Computer Science,1,0,36,0
722,2,2.0,0,0.0,1,1.0,Computer Science,1,0,42,0
778,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
794,2,2.0,0,0.0,1,1.0,English,1,0,46,1
886,2,2.0,0,0.0,1,1.0,English,1,0,32,1
969,2,2.0,0,0.0,1,1.0,Computer Science,1,0,43,0
974,2,2.0,0,0.0,1,1.0,Marketing,1,0,28,0
1023,2,2.0,0,0.0,1,1.0,Marketing,1,0,32,0
1089,2,2.0,0,0.0,1,1.0,Computer Science,1,0,30,1
1141,2,2.0,0,0.0,1,1.0,Marketing,1,0,35,1
1150,2,2.0,0,0.0,1,1.0,Marketing,1,0,31,1
1171,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
1330,2,2.0,0,0.0,1,1.0,Computer Science,1,0,35,1
1341,2,2.0,0,0.0,1,1.0,English,1,0,18,0
1352,2,2.0,0,0.0,1,1.0,Computer Science,1,0,42,1
1356,2,2.0,0,0.0,1,1.0,Computer Science,1,0,21,1
1365,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,1
1371,2,2.0,0,0.0,1,1.0,Computer Science,1,0,22,0
1373,2,2.0,0,0.0,1,1.0,Marketing,1,0,41,1
1462,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
1477,2,2.0,0,0.0,1,1.0,English,1,0,27,1
1518,2,2.0,0,0.0,1,1.0,Marketing,1,0,32,1
1576,2,2.0,0,0.0,1,1.0,English,1,0,34,1
1588,2,2.0,0,0.0,1,1.0,English,1,0,24,0
1603,2,2.0,0,0.0,1,1.0,English,1,0,18,0
1605,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
1626,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
1732,2,2.0,0,0.0,1,1.0,Marketing,1,0,26,1
1751,2,2.0,0,0.0,1,1.0,Marketing,1,0,38,1
1839,2,2.0,0,0.0,1,1.0,English,1,0,24,1
1847,2,2.0,0,0.0,1,1.0,English,1,0,37,0
1876,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
1895,2,2.0,0,0.0,1,1.0,Marketing,1,0,22,1
2034,2,2.0,0,0.0,1,1.0,Marketing,1,0,50,1
2275,2,2.0,0,0.0,1,1.0,Computer Science,1,0,25,1
2294,2,2.0,0,0.0,1,1.0,Marketing,1,0,29,0
2374,2,2.0,0,0.0,1,1.0,Computer Science,1,0,35,1
2510,2,2.0,0,0.0,1,1.0,Computer Science,1,0,35,1
2539,2,2.0,0,0.0,1,1.0,English,1,0,39,1
2549,2,2.0,0,0.0,1,1.0,Computer Science,1,0,31,1
2713,2,2.0,0,0.0,1,1.0,Marketing,1,0,37,0
2732,2,2.0,0,0.0,1,1.0,English,1,0,18,1
2817,2,2.0,0,0.0,1,1.0,English,1,0,34,1
2902,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
2978,2,2.0,0,0.0,1,1.0,English,1,0,25,0
3001,2,2.0,0,0.0,1,1.0,Computer Science,1,0,27,0
3164,2,2.0,0,0.0,1,1.0,Marketing,1,0,28,1
3182,2,2.0,0,0.0,1,1.0,English,1,0,39,0
3327,2,2.0,0,0.0,1,1.0,English,1,0,25,1
3331,2,2.0,0,0.0,1,1.0,Computer Science,1,0,23,1
3488,2,2.0,0,0.0,1,1.0,English,1,0,40,1
3578,2,2.0,0,0.0,1,1.0,English,1,0,45,0
3628,2,2.0,0,0.0,1,1.0,Marketing,1,0,21,1
3645,2,2.0,0,0.0,1,1.0,Computer Science,1,0,22,1
3723,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
3747,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
3823,2,2.0,0,0.0,1,1.0,English,1,0,40,1
3841,2,2.0,0,0.0,1,1.0,English,1,0,54,1
3845,2,2.0,0,0.0,1,1.0,Computer Science,1,0,35,0
3911,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
3940,2,2.0,0,0.0,1,1.0,Computer Science,1,0,21,0
3959,2,2.0,0,0.0,1,1.0,Computer Science,1,0,21,0
4047,2,2.0,0,0.0,1,1.0,Computer Science,1,0,45,1
4125,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,0
4147,2,2.0,0,0.0,1,1.0,English,1,0,41,1
4220,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
4310,2,2.0,0,0.0,1,1.0,Computer Science,1,0,26,1
4451,2,2.0,0,0.0,1,1.0,Computer Science,1,0,47,1
4484,2,2.0,0,0.0,1,1.0,Computer Science,1,0,37,0
4517,2,2.0,0,0.0,1,1.0,Computer Science,1,0,26,0
4573,2,2.0,0,0.0,1,1.0,English,1,0,37,1
4576,2,2.0,0,0.0,1,1.0,English,1,0,43,1
4699,2,2.0,0,0.0,1,1.0,Computer Science,1,0,41,1
4702,2,2.0,0,0.0,1,1.0,Marketing,1,0,37,1
4763,2,2.0,0,0.0,1,1.0,English,1,0,38,1
4810,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,0
4842,2,2.0,0,0.0,1,1.0,Marketing,1,0,36,1
4991,2,2.0,0,0.0,1,1.0,Marketing,1,0,26,1
4996,2,2.0,0,0.0,1,1.0,Computer Science,1,0,20,0
4997,2,2.0,0,0.0,1,1.0,Marketing,1,0,28,1
5012,2,2.0,0,0.0,1,1.0,Computer Science,1,0,38,1
5087,2,2.0,0,0.0,1,1.0,Computer Science,1,0,33,0
5115,2,2.0,0,0.0,1,1.0,Marketing,1,0,25,0
5119,2,2.0,0,0.0,1,1.0,English,1,0,38,0
5161,2,2.0,0,0.0,1,1.0,English,1,0,37,1
5181,2,2.0,0,0.0,1,1.0,English,1,0,23,0
5183,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
5256,2,2.0,0,0.0,1,1.0,English,1,0,27,1
5258,2,2.0,0,0.0,1,1.0,Marketing,1,0,21,1
5265,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,0
5300,2,2.0,0,0.0,1,1.0,English,1,0,19,1
5373,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,1
5592,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
5725,2,2.0,0,0.0,1,1.0,Marketing,1,0,27,1
5768,2,2.0,0,0.0,1,1.0,English,1,0,19,0
5803,2,2.0,0,0.0,1,1.0,Marketing,1,0,26,0
5938,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,0
6063,2,2.0,0,0.0,1,1.0,English,1,0,41,1
6164,2,2.0,0,0.0,1,1.0,Marketing,1,0,24,0
6169,2,2.0,0,0.0,1,1.0,Marketing,1,0,43,1
6228,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,1
6321,2,2.0,0,0.0,1,1.0,Computer Science,1,0,23,1
6395,2,2.0,0,0.0,1,1.0,Computer Science,1,0,23,0
6455,2,2.0,0,0.0,1,1.0,Computer Science,1,0,34,1
6459,2,2.0,0,0.0,1,1.0,Computer Science,1,0,60,1
6642,2,2.0,0,0.0,1,1.0,Computer Science,1,0,19,0
6679,2,2.0,0,0.0,1,1.0,Computer Science,1,0,53,1
6729,2,2.0,0,0.0,1,1.0,Marketing,1,0,33,0
6749,2,2.0,0,0.0,1,1.0,English,1,0,21,0
6850,2,2.0,0,0.0,1,1.0,English,1,0,29,0
6933,2,2.0,0,0.0,1,1.0,English,1,0,18,1
7025,2,2.0,0,0.0,1,1.0,English,1,0,37,1
7046,2,2.0,0,0.0,1,1.0,Marketing,1,0,33,1
7116,2,2.0,0,0.0,1,1.0,Marketing,1,0,25,1
7129,2,2.0,0,0.0,1,1.0,Marketing,1,0,29,1
7176,2,2.0,0,0.0,1,1.0,Computer Science,1,0,35,0
7193,2,2.0,0,0.0,1,1.0,English,1,0,26,1
7206,2,2.0,0,0.0,1,1.0,Computer Science,1,0,18,1
7458,2,2.0,0,0.0,1,1.0,Marketing,1,0,29,1
7473,2,2.0,0,0.0,1,1.0,English,1,0,28,0
7490,2,2.0,0,0.0,1,1.0,Computer Science,1,0,29,0
7568,2,2.0,0,0.0,1,1.0,Marketing,1,0,32,0
7642,2,2.0,0,0.0,1,1.0,English,1,0,33,0
7773,2,2.0,0,0.0,1,1.0,Marketing,1,0,31,1
7962,2,2.0,0,0.0,1,1.0,Computer Science,1,0,29,0
8099,2,2.0,0,0.0,1,1.0,Computer Science,1,0,36,0
8108,2,2.0,0,0.0,1,1.0,Computer Science,1,0,39,1
8148,2,2.0,0,0.0,1,1.0,English,1,0,43,0
8224,2,2.0,0,0.0,1,1.0,English,1,0,22,0
8229,2,2.0,0,0.0,1,1.0,English,1,0,18,1
8265,2,2.0,0,0.0,1,1.0,Computer Science,1,0,40,1
8280,2,2.0,0,0.0,1,1.0,English,1,0,31,0
8387,2,2.0,0,0.0,1,1.0,Marketing,1,0,32,0
8420,2,2.0,0,0.0,1,1.0,Marketing,1,0,18,1
8509,2,2.0,0,0.0,1,1.0,English,1,0,23,0
8535,2,2.0,0,0.0,1,1.0,Computer Science,1,0,26,1
8624,2,2.0,0,0.0,1,1.0,English,1,0,18,1
8629,2,2.0,0,0.0,1,1.0,English,1,0,39,0
8673,2,2.0,0,0.0,1,1.0,English,1,0,38,1
8675,2,2.0,0,0.0,1,1.0,Marketing,1,0,25,1
8757,2,2.0,0,0.0,1,1.0,Computer Science,1,0,46,0
8794,2,2.0,0,0.0,1,1.0,Computer Science,1,0,39,1
8880,2,2.0,0,0.0,1,1.0,Computer Science,1,0,41,0
8886,2,2.0,0,0.0,1,1.0,English,1,0,23,1
8920,2,2.0,0,0.0,1,1.0,Marketing,1,0,22,0
8931,2,2.0,0,0.0,1,1.0,English,1,0,40,0
8932,2,2.0,0,0.0,1,1.0,Computer Science,1,0,28,1
8950,2,2.0,0,0.0,1,1.0,Computer Science,1,0,28,1
8958,2,2.0,0,0.0,1,1.0,Marketing,1,0,22,1
9022,2,2.0,0,0.0,1,1.0,Marketing,1,0,38,1
9275,2,2.0,0,0.0,1,1.0,English,1,0,32,0
9304,2,2.0,0,0.0,1,1.0,Computer Science,1,0,24,1
9322,2,2.0,0,0.0,1,1.0,Computer Science,1,0,38,1
9375,2,2.0,0,0.0,1,1.0,English,1,0,18,0
9407,2,2.0,0,0.0,1,1.0,Computer Science,1,0,21,1
9419,2,2.0,0,0.0,1,1.0,Marketing,1,0,21,1
9489,2,2.0,0,0.0,1,1.0,Computer Science,1,0,20,0
9504,2,2.0,0,0.0,1,1.0,Marketing,1,0,35,1
9542,2,2.0,0,0.0,1,1.0,Computer Science,1,0,27,0
9622,2,2.0,0,0.0,1,1.0,Marketing,1,0,44,0
9640,2,2.0,0,0.0,1,1.0,English,1,0,18,1
9700,2,2.0,0,0.0,1,1.0,English,1,0,27,1
9713,2,2.0,0,0.0,1,1.0,Computer Science,1,0,43,0
9721,2,2.0,0,0.0,1,1.0,Computer Science,1,0,38,1
9784,2,2.0,0,0.0,1,1.0,English,1,0,18,1
9926,2,2.0,0,0.0,1,1.0,English,1,0,21,0
