user_id,subscription_id,active_days,courses_seen,materials_seen,favorite_category
1,01b9961e-ce90-4394-87f0-80fb7dda3d0d,6,1,3,Marketing
2,8ccd37a2-4dbf-4cc9-bdbb-d6a0d185152f,17,3,25,Computer Science
3,83f985dd-9df2-4d08-9607-464b5a43916f,4,1,18,Marketing
4,4819d2cf-936b-42ae-84ee-31ba0e3aaa12,9,2,12,English
5,f7b33d37-de41-4ab2-8e71-c74c3f14d3fb,11,2,25,Marketing
6,e974b23f-68e0-41df-98ba-5fd846cce5b0,2,0,1,English
7,1ee13c42-39e8-475d-86b4-0d0bf6e576da,11,2,20,Marketing
8,f3606d04-f9ff-4887-955a-1f528e3ced32,9,2,12,Computer Science
9,c3e2e2d8-0b08-4552-b8df-d4b6c5b380bc,15,3,28,Computer Science
10,9fb252ed-11f7-4a19-bb05-612e6783fa8a,9,2,26,Computer Science
11,1dc3ca73-52f4-4968-a70c-b6768f213f5b,12,2,28,Computer Science
12,74d9a092-fe06-4fd7-aaa5-26b4889551e6,5,1,2,Marketing
13,1abfd52f-29cb-47f3-9fe1-1ad84514c67f,12,2,26,Computer Science
14,9d634ff2-ac0d-4eaf-8819-f329f3e3169e,3,1,3,Marketing
15,2c8f798e-0797-4373-aefd-c1748f2d7c90,9,2,28,Marketing
16,73b1020a-b734-4061-8045-61c22a50ded0,6,1,9,Computer Science
17,3f62a098-aae2-4d4c-b4f3-7f7cde9c3ced,7,1,5,English
18,bf23af3b-2419-4960-b6a4-de83ff9c92c1,1,0,1,English
19,778fe1cc-68ec-422a-9fab-134e3b0bf2b1,9,2,28,Marketing
20,08c35e9c-45fb-4766-99ab-c06c4afb5ac5,7,1,17,Marketing
21,95eebbad-7ec0-4e38-965f-7769890376d5,7,1,7,Marketing
22,b22e09f1-5fc9-4cda-99a7-84350302a1c2,13,3,22,Computer Science
23,fdb395b9-2062-4bb4-a461-6e133d440c4f,9,2,18,Marketing
24,3f76e2fd-e623-4ee6-a84d-311b86479da4,10,2,18,English
25,1e5c5bf7-37ad-4cd7-ac02-668d8d307c45,7,1,5,Marketing
26,5f54d4df-92d7-4cb0-89be-61a09dba1a24,5,1,13,Marketing
27,78f7b1fe-b48d-43c6-9ec8-12397b76cf05,5,1,18,Computer Science
28,95b357c5-e90d-4a6b-a7e2-7ce679b6038f,6,1,2,Computer Science
29,ddcc6e21-aec2-43d8-a56b-dbd82b84d0b9,6,1,6,Marketing
30,9c211c5b-8480-4420-b43b-fca69f7956b0,18,4,47,Computer Science
31,44550e1c-386b-4cc9-9298-4a1692696a05,9,2,27,English
32,fe41370f-27b8-4416-80c0-ab496e7b3e33,5,1,9,Marketing
33,8ce544ac-a365-4261-be66-3d886aead83b,7,1,4,Marketing
34,57866806-e912-4672-8159-e9b5bd2d8660,15,3,33,Marketing
35,2ce22757-3483-41f5-bd8f-324b24d0345c,8,2,25,Computer Science
36,6087eb74-8ab9-4301-90e9-5281544a56d2,3,1,15,Computer Science
37,09b36ae9-4da7-462d-a0ad-205ca13d47fb,6,1,17,Marketing
38,90cc2ac9-07a3-4a1f-a443-3af352ad2ad4,16,3,28,Computer Science
39,4a78d1e7-d427-4542-976a-79fc1f88f734,4,1,12,Computer Science
40,6eed62c7-01b5-4191-892b-c64c02d1eb02,13,3,26,Computer Science
41,44ea9ff8-6337-45f0-8a98-4814f3b1b45d,8,2,24,Computer Science
42,7ba2de36-893a-4620-ab15-904bf1feb2d0,7,1,10,Computer Science
43,9a65f5b8-3eca-49c6-ac9d-db86ec79a7c7,4,1,16,Computer Science
44,5b770027-0060-45aa-83ea-8792e856ba79,13,3,23,Computer Science
45,2e68062e-ea30-43aa-b342-9e903b310ded,11,2,28,Computer Science
46,102e280b-8694-470f-bf1d-66a0568c8075,4,1,6,Computer Science
47,4ab95891-5946-43be-a8c4-67aeed573d87,9,2,25,Computer Science
48,698e138c-20d4-44e1-872d-8175291eb0df,14,3,33,Computer Science
49,3f955fc9-8b6a-4397-9cf9-3380db6ad3b3,8,2,12,Computer Science
50,dc1f7a7d-fd7e-4e19-b033-a894305997d3,3,1,3,English
51,c81c187f-6e3a-4aaf-b6ea-5aeb07d42f9b,14,3,35,Computer Science
52,0c23ded6-1dfc-4f82-994f-75c4452bffc5,6,1,8,Computer Science
53,c661a36d-56b5-4203-9647-302c9aa6ff88,9,2,12,Marketing
54,1f79afc9-e19e-4e14-b50d-8f84c08c4909,8,2,21,Computer Science
,47911657-fe9f-4afb-87ad-ca2755e25d06,6,1,17,Computer Science
56,d42acca3-242a-4e73-aa1c-b586d2aca7d7,10,2,18,Computer Science
57,ab6bacb8-a1d4-4d26-b054-5c46d035c795,4,1,18,English
58,4324891a-7e81-482f-97ce-5748713fa689,5,1,11,Computer Science
59,f09bde9c-fdc8-495a-8e0d-9ce6095e4484,13,3,34,Computer Science
60,de9ea0ca-13d9-44b6-bf20-97788beaa96b,17,3,26,Computer Science
61,b8dd1dd6-89aa-4f23-bce6-1dac9c057197,10,2,22,Computer Science
62,2e37d778-50bc-4dcf-88a8-c1fe1e62659c,3,1,17,Computer Science
63,38b55c33-1af4-4096-9b2d-70f5caa8910e,10,2,12,Computer Science
64,413e0d4f-facc-4230-b67d-c2f829945572,12,2,15,Computer Science
65,18d44fb3-510f-4b0e-bc13-3099f0302c5e,5,1,15,Computer Science
66,48003af7-9c68-46a6-87df-a5bf04d6811d,7,1,6,Marketing
67,01ee1d47-9a5d-444e-a3b9-b891a37bacda,6,1,12,English
68,7b08a77e-f8ea-49b0-bd5c-e402c12e6569,7,1,15,Computer Science
69,d9d4e9e0-46fd-4cac-b6e6-8c42daee5ed4,5,1,11,English
70,71873afd-a5d4-4547-b769-92b1c10bb754,6,1,4,Marketing
71,b92bbc7f-f72a-41bd-b90b-d35c7d938050,7,1,10,English
72,e15d9b5d-2943-4d51-8f93-dd4d2cd05f64,6,1,14,Marketing
73,610012a7-914e-43e8-b5a1-7f4dd948fb51,7,1,9,English
74,87b84849-092f-4b13-919b-5b31f37b70fe,7,1,14,English
75,38b29e6e-d5c3-4f44-a4b3-b9e184da1820,7,1,17,English
76,ec47463b-b150-404a-b222-e396e16cbd58,11,2,15,Computer Science
77,41ae0208-4444-4b7b-a537-b4973dfc59a3,3,1,3,Computer Science
78,8dc95b33-284d-42eb-b995-5bb6165a6f6d,13,3,26,Computer Science
79,57c2025b-e328-4c7e-9b9e-aef514263783,12,2,28,Computer Science
80,78a091e9-f342-40ae-b2b8-8a45e20d01fc,5,1,17,Marketing
81,80d9fad1-344c-49f1-ad9e-6b62d4de53d5,12,2,26,Computer Science
82,a5cd1515-907f-4117-b56a-62c4941d1a5d,14,3,28,Computer Science
83,29c4d220-224f-4567-9d1c-910f032cbc12,13,3,28,Computer Science
84,0a61ef4b-da78-4a85-b38b-13832e95e8c1,6,1,11,English
85,99adeb0a-1ec5-4b6a-a32f-6eb3edf88404,4,1,17,English
86,a8c50e54-fdc2-4d3d-99d6-05228f4f2f6e,4,1,14,Computer Science
87,ef288e2a-b6b4-4bef-8d40-871722adca72,7,1,3,Marketing
88,755d1bfc-1b3c-47ba-b33c-3cfc0f9d9149,16,3,25,Marketing
89,f1917fe6-c9de-4bb1-ab36-125df2e95296,4,1,13,Marketing
90,b42dad47-a791-4360-a56e-90a6178df1b7,8,2,27,Marketing
91,f20d5571-44b5-4768-b51e-415a524cd6db,11,2,13,Computer Science
92,b1170bc6-bcc0-4a45-b65d-3707e6537486,11,2,12,Computer Science
93,ab8c12d2-6830-45b2-bd2d-74dec23e4588,6,1,2,English
94,18c5fce0-25fa-4a82-ad99-97fa3e9ca86c,12,2,27,Computer Science
95,2ba42c52-3011-4a0d-acb9-9a8e05003e44,13,3,24,Computer Science
96,494bc0f6-f49d-4c62-a570-5e17254410c0,11,2,28,Computer Science
97,7d7754b6-ea17-4a69-a50a-3ecdbad4c721,12,2,20,Computer Science
98,d50ffb9e-1a43-4471-8b3e-58ac96e73421,9,2,28,English
99,7975dc73-9d9f-4dd3-8bac-0be1d22674a4,11,2,22,Computer Science
100,aa3dfd93-b1cc-46be-a312-536f29ddcd1b,7,1,18,Computer Science
101,bc806928-c889-4023-94dc-ed9d4130059a,11,2,22,Computer Science
102,82c2db6d-d00c-44c9-9110-a9d46c85e81b,16,3,26,Computer Science
,54e8a215-d0d5-4292-8343-c02408c85097,5,1,16,Marketing
104,f49994dc-924c-4787-9368-125a61ab5e04,7,1,9,English
105,ee698715-f035-4355-9125-21fef5c519a8,8,2,14,English
106,49c955c0-b8d3-4ee9-83f3-6b04d5191082,7,1,12,English
107,ad2c1b6c-a22e-42d1-af03-1fe9398feaec,8,2,14,Marketing
108,85fa123b-6cb8-44da-a620-023ac836e8a7,14,3,38,Computer Science
109,e19d8fad-43cb-4fb0-ad5f-b45bcfffa836,16,3,23,English
110,80e8204f-c20c-4f1a-9058-c39783cb3584,6,1,11,Marketing
111,92166e72-4566-4554-80f3-4bac33b377fa,5,1,16,Marketing
112,1d8adbef-036b-4b7b-a7bc-8c5f0f480dab,14,3,22,Computer Science
113,e66951fa-3dd6-442e-8956-7102da288b66,15,3,28,Marketing
,9b827eae-c420-4768-9bd4-81d4edbc3d37,7,1,11,Computer Science
115,68f74ab4-3f2d-4754-abd7-a503b641d67b,9,2,28,Marketing
116,0fcba783-cc86-4697-994e-36a4f1927ee0,3,1,6,Computer Science
117,541cf6ff-7179-422d-a745-1e8c75140acd,5,1,16,Computer Science
118,62e2bad5-d306-4428-ad92-28dee9ab790f,6,1,2,Marketing
119,2b5207b1-6d66-4dfb-864f-2101fa11315e,7,1,15,Computer Science
120,37e94d99-59b4-41e4-b619-5b807131e0c0,5,1,14,Computer Science
121,ec1122e0-f7ce-45a0-9f83-468dc5aacdce,9,2,18,English
122,7491171f-4419-48b6-ba40-e036b11269c4,7,1,12,Computer Science
123,fa210039-32db-4437-9fd3-a6961986151c,12,2,19,Computer Science
124,775f876a-dbd8-4b12-8d06-5209a6470dfd,14,3,35,Marketing
125,e88a0072-2333-4d40-93b8-dc77b6e3aeaa,11,2,27,English
126,f77ec547-1c03-4c67-9e46-8c0b172da2f8,9,2,25,English
127,74a5421a-d1ce-45ba-a77d-96e9c5fb2520,11,2,18,Computer Science
128,62453967-3aea-4fee-84eb-2da235650e77,6,1,5,Computer Science
129,6f2cbdb8-1dee-4d5a-97c6-855237c6a4d3,10,2,27,Computer Science
130,e72b8da9-d356-4586-84dc-d692f2d51700,12,2,13,Computer Science
131,62b1df13-98ee-478f-b729-7899f110e026,5,1,2,Marketing
132,8629257c-0032-454c-a0f1-363216d63b2e,12,2,18,Computer Science
133,2637bbd2-d98c-4cbc-9a79-c45c40587ddc,6,1,18,English
134,88090e30-d611-4909-bb9e-bb309d360cde,8,2,28,Computer Science
135,44e828d7-65c3-4074-a24f-03889da7a49b,7,1,18,Marketing
136,4b67c416-08d2-46fa-933f-6b1fae506e64,5,1,8,Computer Science
137,8174848b-2e65-424d-a064-005b7a462f43,4,1,14,Computer Science
138,a866b48e-ce58-4663-8abe-c3ed62b84125,9,2,17,Marketing
139,f6207e21-c6b7-4cfa-9ccb-81377bf9db21,12,2,27,Computer Science
140,589a5090-0f0a-48cd-80ed-f32a81a18373,5,1,9,Marketing
141,04f0f85e-3fee-447c-87ca-0ebb4189ba5d,9,2,28,English
142,da679e8c-a75c-4cb0-ac26-ecba69d1fe22,7,1,15,Computer Science
143,e6eff1a1-66b2-4cc9-9d9c-7c747accdd27,9,2,19,Computer Science
144,cfd0fe78-a91a-4622-a4b5-eb5c41690e1e,7,1,8,Computer Science
145,0fd1f91e-0274-42d0-a66e-24d5d92d59a6,6,1,4,Marketing
146,75e1a017-7387-4a8c-9303-4cf6a5d76ccb,7,1,12,English
147,83dee237-c544-4c95-9da9-2a496a242f6c,6,1,7,English
148,0380be93-ef86-4cb5-854c-12d1914af65e,7,1,9,English
149,cc071980-9272-4a70-bcf1-f77a842fa35f,13,3,31,Computer Science
150,86f99c8f-bf92-40b1-a080-fe6404fba809,7,1,2,Marketing
151,d8530f73-ad69-44ef-81da-d172d2a5c7ef,4,1,2,English
152,0a48399c-6453-4a39-8a19-d459953f6e79,7,1,11,English
153,1078340a-340a-43fe-a2c9-9c37a705fa7b,22,4,35,Marketing
154,a3090e58-8d53-4823-bdb0-7a1fbcdccb17,13,3,25,Marketing
155,656666e0-d2e7-429b-a7b5-fc7b9408357b,5,1,17,Marketing
